"Corpus"	"CorpusIso"	"Points"	"Recognizer"	"Iso"	"Words"	"Cer"	"WordQ3"	"Coverage"	"Agreement"	"TokenLen"	"GapP25"	"GapP50"	"GapP75"	"GapMax"
"Hant"	"Hant"	"12"	"zh-Hant-TW"	"Hant"	"29"	"0.1481"	"15"	"0.1561"	"0.7727"	"1.76"	"0.133"	"0.133"	"0.357"	"1.357"
"Hant"	"Hant"	"16"	"ar-SA"	"Arab"	"9"	"0.4259"	"19"	"0.0877"	"0"	"3.67"	"0.263"	"0.316"	"0.368"	"0.421"
"Hant"	"Hant"	"16"	"de-DE"	"Latn"	"8"	"0.4444"	"19"	"0.0909"	"1"	"4.12"	"0.263"	"0.316"	"0.368"	"0.421"
"Hant"	"Hant"	"16"	"en-US"	"Latn"	"8"	"0.4444"	"19"	"0.0909"	"1"	"4.12"	"0.263"	"0.316"	"0.368"	"0.421"
"Hant"	"Hant"	"16"	"fr-FR"	"Latn"	"8"	"0.4259"	"19"	"0.0909"	"1"	"4.12"	"0.263"	"0.316"	"0.368"	"0.421"
"Hant"	"Hant"	"16"	"zh-Hans-CN"	"Hans"	"42"	"0.2222"	"19"	"0.1741"	"0.7667"	"1.31"	"0.105"	"0.105"	"0.263"	"0.526"
"Hant"	"Hant"	"16"	"zh-Hant-HK"	"Hant"	"27"	"0.0926"	"19"	"0.1946"	"0.72"	"2"	"0.105"	"0.158"	"0.3"	"0.526"
"Hant"	"Hant"	"16"	"zh-Hant-TW"	"Hant"	"27"	"0.0926"	"19"	"0.1946"	"0.72"	"2"	"0.105"	"0.158"	"0.3"	"0.526"
"Hant"	"Hant"	"24"	"ar-SA"	"Arab"	"10"	"0.4259"	"27"	"0.2156"	"0.2727"	"3.9"	"0.333"	"0.333"	"0.37"	"0.37"
"Hant"	"Hant"	"24"	"de-DE"	"Latn"	"9"	"0.4444"	"28"	"0.1101"	"1"	"3.67"	"0.321"	"0.321"	"0.357"	"0.357"
"Hant"	"Hant"	"24"	"en-US"	"Latn"	"9"	"0.4444"	"28"	"0.1101"	"1"	"3.67"	"0.321"	"0.321"	"0.357"	"0.357"
"Hant"	"Hant"	"24"	"fr-FR"	"Latn"	"9"	"0.4259"	"28"	"0.1101"	"1"	"3.67"	"0.321"	"0.321"	"0.357"	"0.357"
"Hant"	"Hant"	"24"	"zh-Hans-CN"	"Hans"	"37"	"0.1852"	"28"	"0.2057"	"0.7407"	"1.41"	"0.133"	"0.167"	"0.321"	"1.2"
"Hant"	"Hant"	"24"	"zh-Hant-HK"	"Hant"	"33"	"0.1111"	"29"	"0.2201"	"0.7308"	"1.61"	"0.133"	"0.167"	"0.321"	"1.2"
"Hant"	"Hant"	"24"	"zh-Hant-TW"	"Hant"	"33"	"0.1111"	"29"	"0.2201"	"0.7308"	"1.61"	"0.133"	"0.167"	"0.321"	"1.2"
"Japanese"	"Jpan"	"10"	"ar-SA"	"Arab"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"
"Japanese"	"Jpan"	"10"	"de-DE"	"Latn"	"7"	"0.6667"	"12"	"0.0318"	"1"	"3.43"	"0.333"	"0.5"	"2.917"	"3.583"
"Japanese"	"Jpan"	"10"	"en-US"	"Latn"	"7"	"0.6667"	"12"	"0.0318"	"1"	"3.43"	"0.333"	"0.5"	"2.917"	"3.583"
"Japanese"	"Jpan"	"10"	"fr-FR"	"Latn"	"7"	"0.6825"	"12"	"0.0318"	"1"	"3.43"	"0.333"	"0.5"	"2.917"	"3.583"
"Japanese"	"Jpan"	"10"	"zh-Hans-CN"	"Hans"	"33"	"0.7302"	"12"	"0.0778"	"0.7273"	"1.3"	"0.167"	"0.333"	"1.333"	"3.833"
"Japanese"	"Jpan"	"10"	"zh-Hant-HK"	"Hant"	"26"	"0.6825"	"12"	"0.0534"	"0.6111"	"1.31"	"0.167"	"0.417"	"1.583"	"6.083"
"Japanese"	"Jpan"	"10"	"zh-Hant-TW"	"Hant"	"26"	"0.6825"	"12"	"0.0534"	"0.6111"	"1.31"	"0.167"	"0.417"	"1.583"	"6.083"
"Japanese"	"Jpan"	"12"	"ar-SA"	"Arab"	"9"	"0.619"	"14"	"0.0489"	"0"	"3.67"	"0.429"	"0.429"	"0.571"	"0.571"
"Japanese"	"Jpan"	"12"	"de-DE"	"Latn"	"8"	"0.5873"	"14"	"0.0434"	"1"	"3.62"	"0.429"	"0.429"	"0.5"	"3.143"
"Japanese"	"Jpan"	"12"	"en-US"	"Latn"	"8"	"0.5873"	"14"	"0.0434"	"1"	"3.62"	"0.429"	"0.429"	"0.5"	"3.143"
"Japanese"	"Jpan"	"12"	"fr-FR"	"Latn"	"8"	"0.5714"	"14"	"0.0434"	"1"	"3.62"	"0.429"	"0.429"	"0.5"	"3.143"
"Japanese"	"Jpan"	"12"	"zh-Hans-CN"	"Hans"	"38"	"0.6032"	"14"	"0.0936"	"0.7037"	"1.32"	"0.143"	"0.357"	"0.571"	"2.571"
"Japanese"	"Jpan"	"12"	"zh-Hant-HK"	"Hant"	"34"	"0.4921"	"14"	"0.0878"	"0.5714"	"1.47"	"0.214"	"0.429"	"1.071"	"3.786"
"Japanese"	"Jpan"	"12"	"zh-Hant-TW"	"Hant"	"34"	"0.4921"	"14"	"0.0878"	"0.5714"	"1.47"	"0.214"	"0.429"	"1.071"	"3.786"
"Japanese"	"Jpan"	"16"	"ar-SA"	"Arab"	"9"	"0.5079"	"20"	"0.0553"	"0"	"3.67"	"0.35"	"0.4"	"0.4"	"0.4"
"Japanese"	"Jpan"	"16"	"de-DE"	"Latn"	"15"	"0.5238"	"20"	"0.0703"	"1"	"3"	"0.35"	"0.4"	"1.444"	"11.556"
"Japanese"	"Jpan"	"16"	"en-US"	"Latn"	"14"	"0.5238"	"20"	"0.0706"	"1"	"3.21"	"0.35"	"0.4"	"3.389"	"11.556"
"Japanese"	"Jpan"	"16"	"fr-FR"	"Latn"	"15"	"0.5079"	"20"	"0.0731"	"1"	"3.07"	"0.35"	"0.4"	"1.444"	"11.556"
"Japanese"	"Jpan"	"16"	"zh-Hans-CN"	"Hans"	"44"	"0.4921"	"18"	"0.1119"	"0.7812"	"1.32"	"0.15"	"0.263"	"0.368"	"3.789"
"Japanese"	"Jpan"	"16"	"zh-Hant-HK"	"Hant"	"32"	"0.381"	"18"	"0.1111"	"0.64"	"1.75"	"0.211"	"0.35"	"0.4"	"2.737"
"Japanese"	"Jpan"	"16"	"zh-Hant-TW"	"Hant"	"32"	"0.381"	"18"	"0.1111"	"0.64"	"1.75"	"0.211"	"0.35"	"0.4"	"2.737"
"Japanese"	"Jpan"	"24"	"ar-SA"	"Arab"	"10"	"0.5079"	"30"	"0.0692"	"0"	"3.7"	"0.4"	"0.433"	"0.433"	"0.433"
"Japanese"	"Jpan"	"24"	"de-DE"	"Latn"	"9"	"0.5238"	"30"	"0.0616"	"1"	"3.67"	"0.4"	"0.4"	"0.433"	"0.433"
"Japanese"	"Jpan"	"24"	"en-US"	"Latn"	"9"	"0.5238"	"30"	"0.0616"	"1"	"3.67"	"0.4"	"0.4"	"0.433"	"0.433"
"Japanese"	"Jpan"	"24"	"fr-FR"	"Latn"	"9"	"0.5079"	"30"	"0.0616"	"1"	"3.67"	"0.4"	"0.4"	"0.433"	"0.433"
"Japanese"	"Jpan"	"24"	"zh-Hans-CN"	"Hans"	"44"	"0.4286"	"28"	"0.1364"	"0.7647"	"1.36"	"0.138"	"0.241"	"0.4"	"1.483"
"Japanese"	"Jpan"	"24"	"zh-Hant-HK"	"Hant"	"32"	"0.3492"	"29"	"0.1263"	"0.6538"	"1.72"	"0.207"	"0.4"	"0.433"	"2.759"
"Japanese"	"Jpan"	"24"	"zh-Hant-TW"	"Hant"	"32"	"0.3492"	"29"	"0.1263"	"0.6538"	"1.72"	"0.207"	"0.4"	"0.433"	"2.759"
"Korean"	"Kore"	"10"	"ar-SA"	"Arab"	"1"	"0.7966"	"12"	"0.0741"	"0"	"33"	"0"	"0"	"0"	"0"
"Korean"	"Kore"	"10"	"de-DE"	"Latn"	"10"	"0.4915"	"11"	"0.0662"	"1"	"4.2"	"0.455"	"0.545"	"0.545"	"0.636"
"Korean"	"Kore"	"10"	"en-US"	"Latn"	"10"	"0.4915"	"11"	"0.0662"	"1"	"4.2"	"0.455"	"0.545"	"0.545"	"0.636"
"Korean"	"Kore"	"10"	"fr-FR"	"Latn"	"9"	"0.4746"	"11"	"0.0472"	"1"	"3.67"	"0.455"	"0.545"	"0.545"	"0.636"
"Korean"	"Kore"	"10"	"zh-Hans-CN"	"Hans"	"26"	"0.7797"	"12"	"0.0664"	"0.5833"	"1.38"	"0.091"	"0.455"	"0.545"	"1.75"
"Korean"	"Kore"	"10"	"zh-Hant-HK"	"Hant"	"22"	"0.661"	"11"	"0.0748"	"0.3"	"2.14"	"0.182"	"0.455"	"0.545"	"3.615"
"Korean"	"Kore"	"10"	"zh-Hant-TW"	"Hant"	"22"	"0.661"	"11"	"0.0748"	"0.3"	"2.14"	"0.182"	"0.455"	"0.545"	"3.615"
"Korean"	"Kore"	"12"	"ar-SA"	"Arab"	"9"	"0.4746"	"14"	"0.0611"	"0"	"3.67"	"0.429"	"0.5"	"0.5"	"0.5"
"Korean"	"Kore"	"12"	"de-DE"	"Latn"	"10"	"0.5085"	"14"	"0.0796"	"1"	"4"	"0.429"	"0.429"	"0.5"	"0.5"
"Korean"	"Kore"	"12"	"en-US"	"Latn"	"11"	"0.5085"	"14"	"0.0828"	"1"	"3.82"	"0.429"	"0.429"	"0.5"	"0.5"
"Korean"	"Kore"	"12"	"fr-FR"	"Latn"	"10"	"0.4746"	"14"	"0.0837"	"1"	"4.2"	"0.429"	"0.429"	"0.5"	"0.5"
"Korean"	"Kore"	"12"	"zh-Hans-CN"	"Hans"	"33"	"0.7458"	"15"	"0.114"	"0.5926"	"1.61"	"0.133"	"0.267"	"0.5"	"2.667"
"Korean"	"Kore"	"12"	"zh-Hant-HK"	"Hant"	"11"	"0.5424"	"14"	"0.0571"	"0"	"2.82"	"0.429"	"0.429"	"0.5"	"1.071"
"Korean"	"Kore"	"12"	"zh-Hant-TW"	"Hant"	"11"	"0.5424"	"14"	"0.0571"	"0"	"2.82"	"0.429"	"0.429"	"0.5"	"1.071"
"Korean"	"Kore"	"16"	"ar-SA"	"Arab"	"13"	"0.4746"	"18"	"0.1245"	"0.3333"	"3.92"	"0.444"	"0.5"	"0.5"	"0.6"
"Korean"	"Kore"	"16"	"de-DE"	"Latn"	"11"	"0.5085"	"18"	"0.0839"	"1"	"3.91"	"0.389"	"0.444"	"0.5"	"0.65"
"Korean"	"Kore"	"16"	"en-US"	"Latn"	"11"	"0.5085"	"18"	"0.0683"	"1"	"3.27"	"0.389"	"0.444"	"0.444"	"0.5"
"Korean"	"Kore"	"16"	"fr-FR"	"Latn"	"13"	"0.4746"	"18"	"0.0816"	"1"	"3.08"	"0.389"	"0.444"	"0.5"	"4.1"
"Korean"	"Kore"	"16"	"zh-Hans-CN"	"Hans"	"37"	"0.7458"	"18"	"0.0978"	"0.5652"	"1.38"	"0.111"	"0.278"	"0.444"	"6.15"
"Korean"	"Kore"	"16"	"zh-Hant-HK"	"Hant"	"20"	"0.5593"	"18"	"0.0782"	"0.3333"	"1.95"	"0.2"	"0.444"	"1.222"	"6.55"
"Korean"	"Kore"	"16"	"zh-Hant-TW"	"Hant"	"20"	"0.5593"	"18"	"0.0782"	"0.3333"	"1.95"	"0.2"	"0.444"	"1.222"	"6.55"
"Korean"	"Kore"	"24"	"ar-SA"	"Arab"	"18"	"0.5424"	"30"	"0.2244"	"0.4286"	"3.56"	"0.407"	"0.481"	"0.519"	"0.667"
"Korean"	"Kore"	"24"	"de-DE"	"Latn"	"14"	"0.4746"	"30"	"0.1249"	"1"	"3.71"	"0.444"	"0.481"	"0.633"	"9.167"
"Korean"	"Kore"	"24"	"en-US"	"Latn"	"16"	"0.4915"	"30"	"0.1301"	"1"	"3.44"	"0.444"	"0.467"	"0.481"	"9.167"
"Korean"	"Kore"	"24"	"fr-FR"	"Latn"	"15"	"0.4407"	"30"	"0.1134"	"1"	"3.33"	"0.444"	"0.444"	"0.481"	"9.167"
"Korean"	"Kore"	"24"	"zh-Hans-CN"	"Hans"	"31"	"0.5763"	"28"	"0.1184"	"0.6667"	"1.48"	"0.222"	"0.444"	"0.481"	"3.8"
"Korean"	"Kore"	"24"	"zh-Hant-HK"	"Hant"	"11"	"0.5254"	"27"	"0.0778"	"0"	"2.91"	"0.444"	"0.444"	"0.481"	"0.519"
"Korean"	"Kore"	"24"	"zh-Hant-TW"	"Hant"	"11"	"0.5254"	"27"	"0.0778"	"0"	"2.91"	"0.444"	"0.444"	"0.481"	"0.519"
